ImagesName,CDR,VCDR,RDR,I,S,N,T,Labels
Negative39,0.4765432098765432,0.48737373737373735,0.14074074074074075,124,176,170,113,0
Negative4,0.5203488372093024,0.50997150997151,0.046511627906976744,165,166,150,114,0
Negative40,0.4621409921671018,0.4041095890410959,0.13054830287206268,197,209,157,134,0
Negative41,0.5774647887323944,0.5423280423280423,2.0,165,185,113,181,0
Negative42,0.46641074856046066,0.4727626459143969,0.10748560460652591,259,232,219,198,0
Negative43,0.4818181818181818,0.4844606946983547,0.10545454545454545,252,237,227,174,0
Negative44,0.4323873121869783,0.38656716417910447,0.15191986644407346,306,303,194,253,0
Negative45,0.49822695035460995,0.4144542772861357,0.16312056737588654,247,302,208,175,0
Negative46,0.5816326530612245,0.5191256830601093,2.0,241,256,218,85,0
Negative47,0.5486542443064182,0.5216535433070866,2.0,245,265,230,123,0
Negative48,0.42114384748700173,0.4308510638297872,0.2270363951473137,219,203,189,227,0
Negative49,0.4563106796116505,0.4417293233082707,2.0,238,295,281,73,0
Negative5,0.48169014084507045,0.48857142857142855,0.2,133,138,126,125,0
Negative50,0.567193675889328,0.5189873417721519,0.011857707509881422,250,235,217,117,0
Negative51,0.4851301115241636,0.4371859296482412,0.06133828996282528,283,292,242,156,0
Negative52,0.5600706713780919,0.47172619047619047,0.04240282685512368,301,269,140,235,0
Negative53,0.507380073800738,0.4590984974958264,0.07011070110701106,268,296,165,226,0
Negative54,0.5418410041841004,0.46415770609318996,2.0,255,303,217,106,0
Negative55,0.5131004366812227,0.5053763440860215,2.0,235,231,226,5,0
Negative56,0.4119318181818182,0.3661616161616162,0.26988636363636365,148,161,129,129,0
Negative57,0.4255952380952381,0.45980707395498394,0.12797619047619047,149,151,116,148,0
Negative58,0.3957345971563981,0.38657407407407407,0.22274881516587677,181,194,168,155,0
Negative59,0.43322475570032576,0.40181268882175225,0.1270358306188925,133,146,81,140,0
Negative6,0.44477611940298506,0.37817258883248733,0.11641791044776119,169,199,144,115,0
Negative60,0.42901234567901236,0.41002949852507375,0.043209876543209874,154,139,176,64,0
Negative61,0.4880952380952381,0.4823529411764706,0.0880952380952381,182,159,126,191,0
Negative62,0.5065616797900262,0.5421348314606742,0.026246719160104987,156,149,179,85,0
Negative63,0.4274193548387097,0.4332425068119891,0.06989247311827956,180,170,189,108,0
Negative64,0.4393939393939394,0.43283582089552236,0.08787878787878788,169,156,107,157,0
Negative65,0.41812865497076024,0.43730886850152906,0.05847953216374269,161,155,174,108,0
Negative66,0.34796238244514105,0.36156351791530944,0.23510971786833856,135,130,113,136,0
Negative67,0.48286604361370716,0.4626865671641791,0.024922118380062305,150,140,159,71,0
Negative68,0.502906976744186,0.46630727762803237,0.13953488372093023,148,178,136,134,0
Negative69,0.46949602122015915,0.46335078534031415,0.013262599469496022,194,171,195,90,0
Negative7,0.48412698412698413,0.3674698795180723,0.15608465608465608,193,200,103,151,0
Negative70,0.47109826589595377,0.4752186588921283,0.04335260115606936,179,165,186,161,0
Negative71,0.5027472527472527,0.5,0.14835164835164835,150,118,137,117,0
Negative72,0.40700808625336926,0.4289772727272727,0.16172506738544473,122,176,161,122,0
Negative73,0.4015748031496063,0.4026315789473684,0.17585301837270342,181,160,130,160,0
Negative74,0.42385786802030456,0.4326424870466321,0.17766497461928935,158,146,171,135,0
Negative75,0.3574007220216607,0.36531365313653136,0.22382671480144403,115,115,95,120,0
Negative76,0.3916349809885932,0.39015151515151514,0.19771863117870722,110,98,116,81,0
Negative77,0.5196629213483146,0.5623100303951368,0.0028089887640449437,138,168,170,95,0
Negative78,0.4224137931034483,0.40384615384615385,0.1781609195402299,159,142,114,141,0
Negative79,0.42318059299191374,0.4186666666666667,0.12398921832884097,168,143,177,106,0
Negative8,0.45409429280397023,0.38204592901878914,0.15632754342431762,209,242,167,160,0
Negative80,0.3888888888888889,0.43322475570032576,0.23391812865497075,108,122,129,126,0
Negative81,0.3776435045317221,0.4166666666666667,0.1903323262839879,114,121,157,102,0
Negative82,0.40931372549019607,0.3694690265486726,0.2426470588235294,207,202,172,146,0
Negative83,0.5216216216216216,0.45093457943925236,0.05675675675675676,190,161,165,91,0
Negative84,0.4151436031331593,0.49074074074074076,0.06527415143603134,163,128,128,172,0
Negative9,0.41885964912280704,0.46359223300970875,0.19078947368421054,176,139,160,206,0
Positive1,0.4849246231155779,0.41956521739130437,0.1306532663316583,185,206,160,119,1
Positive10,0.5887850467289719,0.5924764890282131,0.12461059190031153,82,138,103,94,1
Positive11,0.5979643765903307,0.4417293233082707,0.09669211195928754,211,188,94,143,1
Positive12,0.5025510204081632,0.4129979035639413,0.14285714285714285,197,216,150,139,1
Positive13,0.468586387434555,0.4323671497584541,0.10471204188481675,170,181,110,171,1
Positive14,0.5115740740740741,0.4652631578947368,0.03009259259259259,235,241,194,1,1
Positive15,0.5295698924731183,0.3971774193548387,0.053763440860215055,207,223,162,92,1
Positive16,0.5599128540305011,0.4812734082397004,0.0718954248366013,233,215,176,121,1
Positive17,0.5241545893719807,0.5695538057742782,0.15458937198067632,123,157,140,133,1
Positive18,0.6468926553672316,0.6205962059620597,2.0,136,154,143,8,1
Positive19,0.5621301775147929,0.5480769230769231,0.14595660749506903,182,184,147,174,1
Positive2,0.44766146993318484,0.3654545454545455,0.155902004454343,249,299,180,190,1
Positive20,0.39863325740318906,0.4069767441860465,0.11389521640091116,173,233,130,214,1
Positive21,0.3583138173302108,0.3355263157894737,0.1920374707259953,202,246,206,199,1
Positive22,0.685131195335277,0.5831265508684863,0.029154518950437316,119,123,46,134,1
Positive23,0.6927536231884058,0.5975,0.06956521739130435,127,128,110,79,1
Positive24,0.5298507462686567,0.46203904555314534,0.10696517412935323,217,215,148,146,1
Positive25,0.6261904761904762,0.7032085561497327,0.05952380952380952,121,117,118,151,1
Positive26,0.3870056497175141,0.39255014326647564,0.014124293785310734,166,184,165,190,1
Positive27,0.5144766146993318,0.4695121951219512,0.16258351893095768,173,157,122,182,1
Positive28,0.4517133956386293,0.44753086419753085,0.14018691588785046,123,138,88,139,1
Positive29,0.5461741424802111,0.45394736842105265,0.11873350923482849,184,197,136,131,1
Positive3,0.6289473684210526,0.5886699507389163,0.08947368421052632,139,176,117,111,1
Positive30,0.5696517412935324,0.5812182741116751,0.06218905472636816,136,158,160,94,1
Positive31,0.4365079365079365,0.46348314606741575,0.082010582010582,128,166,183,94,1
Positive32,0.5741127348643006,0.44141252006420545,0.1127348643006263,211,231,110,182,1
Positive33,0.4577259475218659,0.4472934472934473,0.06705539358600583,165,187,155,17,1
Positive34,0.6044776119402985,0.5690866510538641,0.06467661691542288,138,193,155,132,1
Positive35,0.5121951219512195,0.46551724137931033,0.04065040650406504,176,157,175,80,1
Positive36,0.49175824175824173,0.49722222222222223,0.12912087912087913,117,183,115,145,1
Positive37,0.5104895104895105,0.46496815286624205,0.08158508158508158,161,238,170,152,1
Positive38,0.5111731843575419,0.4854111405835544,0.002793296089385475,167,195,173,92,1
Positive39,0.5085227272727273,0.4890710382513661,0.14204545454545456,115,158,135,114,1
Positive4,0.6207792207792208,0.5886699507389163,0.09610389610389611,146,154,126,120,1
Positive40,0.5636363636363636,0.5344827586206896,0.15064935064935064,134,162,125,113,1
Positive41,0.6263440860215054,0.5928753180661578,0.05913978494623656,133,151,87,129,1
Positive42,0.48048780487804876,0.48048780487804876,0.0951219512195122,186,145,155,140,1
Positive43,0.508274231678487,0.4809843400447427,0.09219858156028368,184,201,125,176,1
Positive44,0.5749318801089919,0.501187648456057,0.09536784741144415,155,168,94,132,1
Positive45,0.6235632183908046,0.547979797979798,0.022988505747126436,124,151,78,160,1
Positive46,0.5542986425339367,0.5303030303030303,0.07918552036199095,172,157,93,180,1
Positive47,0.5022321428571429,0.4716981132075472,0.08482142857142858,190,212,200,139,1
Positive48,0.40700808625336926,0.3813131313131313,0.1509433962264151,209,188,164,1,1
Positive49,0.4874141876430206,0.46405228758169936,0.08237986270022883,210,173,185,128,1
Positive5,0.43614457831325304,0.4151376146788991,0.15421686746987953,182,220,167,180,1
Positive50,0.5076530612244898,0.44320712694877507,0.08418367346938775,177,200,103,169,1
Positive51,0.5024038461538461,0.4381551362683438,0.07932692307692307,190,223,122,183,1
Positive52,0.5165394402035624,0.5427807486631016,0.08651399491094147,118,155,123,165,1
Positive53,0.4541176470588235,0.4730392156862745,0.05411764705882353,158,218,111,206,1
Positive54,0.4562841530054645,0.4164588528678304,0.15027322404371585,184,218,140,6,1
Positive55,0.5870967741935483,0.5526315789473685,0.10752688172043011,139,190,129,185,1
Positive56,0.44049459041731065,0.43051359516616317,0.21947449768160743,271,270,242,252,1
Positive57,0.5130597014925373,0.49909255898366606,0.17164179104477612,211,169,188,189,1
Positive58,0.6128472222222222,0.5507020280811232,0.16145833333333334,194,248,168,196,1
Positive59,0.5101694915254237,0.4688473520249221,0.21525423728813559,209,256,230,168,1
Positive6,0.5914489311163895,0.4853801169590643,0.12589073634204276,180,184,107,145,1
Positive60,0.5692307692307692,0.5513245033112583,0.11794871794871795,227,213,172,216,1
Positive61,0.46551724137931033,0.5214592274678111,0.16091954022988506,181,155,176,182,1
Positive62,0.5386100386100386,0.541747572815534,0.16602316602316602,181,182,178,156,1
Positive63,0.591182364729459,0.5230496453900709,0.13627254509018036,196,224,154,164,1
Positive64,0.45297805642633227,0.4816666666666667,0.16927899686520376,253,210,261,200,1
Positive65,0.5103338632750397,0.49922239502332816,0.20349761526232116,214,244,205,215,1
Positive66,0.5266272189349113,0.5028248587570622,0.0039447731755424065,269,264,6,232,1
Positive67,0.5300171526586621,0.5273037542662116,0.14751286449399656,213,214,167,205,1
Positive68,0.661641541038526,0.63915857605178,0.1440536013400335,192,192,155,173,1
Positive69,0.662109375,0.6266173752310537,0.13671875,181,152,141,141,1
Positive7,0.562200956937799,0.4527938342967245,0.11961722488038277,215,202,143,126,1
Positive70,0.5281954887218046,0.5332068311195446,0.17669172932330826,175,194,184,162,1
Positive71,0.5234521575984991,0.4991055456171735,0.1894934333958724,203,199,181,174,1
Positive72,0.5796387520525451,0.5629984051036683,0.14942528735632185,218,172,189,178,1
Positive73,0.6231884057971014,0.5308641975308642,0.07453416149068323,227,191,135,174,1
Positive74,0.4818181818181818,0.4608695652173913,0.14545454545454545,136,133,99,126,1
Positive75,0.5331695331695332,0.5740740740740741,0.06388206388206388,123,130,168,108,1
Positive76,0.4067415730337079,0.40401785714285715,0.15955056179775282,206,143,163,215,1
Positive77,0.658703071672355,0.564327485380117,0.11945392491467577,109,108,88,78,1
Positive78,0.49,0.45286506469500926,0.19,181,224,197,191,1
Positive79,0.47512437810945274,0.4835443037974684,0.22885572139303484,140,149,147,129,1
Positive8,0.4481865284974093,0.4229828850855746,0.15544041450777202,144,155,98,169,1
Positive80,0.3866279069767442,0.36639118457300274,0.10465116279069768,172,192,172,173,1
Positive81,0.45792079207920794,0.4567901234567901,0.19554455445544555,160,141,137,141,1
Positive82,0.5014005602240896,0.48509485094850946,0.19327731092436976,129,138,118,132,1
Positive83,0.46726190476190477,0.4801223241590214,0.1488095238095238,131,121,104,134,1
Positive84,0.3654390934844193,0.39814814814814814,0.1954674220963173,130,129,165,105,1
Positive9,0.47480106100795755,0.4904109589041096,0.07692307692307693,181,149,102,170,1
